dataset_name,latest_version
TS072,https://api.beta.ons.gov.uk/v1/datasets/TS072/editions/2021/versions/5
TS071,https://api.beta.ons.gov.uk/v1/datasets/TS071/editions/2021/versions/5
TS070,https://api.beta.ons.gov.uk/v1/datasets/TS070/editions/2021/versions/4
TS068,https://api.beta.ons.gov.uk/v1/datasets/TS068/editions/2021/versions/3
TS067,https://api.beta.ons.gov.uk/v1/datasets/TS067/editions/2021/versions/3
TS066,https://api.beta.ons.gov.uk/v1/datasets/TS066/editions/2021/versions/6
TS065,https://api.beta.ons.gov.uk/v1/datasets/TS065/editions/2021/versions/5
TS064,https://api.beta.ons.gov.uk/v1/datasets/TS064/editions/2021/versions/6
TS063,https://api.beta.ons.gov.uk/v1/datasets/TS063/editions/2021/versions/5
TS062,https://api.beta.ons.gov.uk/v1/datasets/TS062/editions/2021/versions/5
TS061,https://api.beta.ons.gov.uk/v1/datasets/TS061/editions/2021/versions/6
TS060,https://api.beta.ons.gov.uk/v1/datasets/TS060/editions/2021/versions/5
TS059,https://api.beta.ons.gov.uk/v1/datasets/TS059/editions/2021/versions/5
TS058,https://api.beta.ons.gov.uk/v1/datasets/TS058/editions/2021/versions/4
TS056,https://api.beta.ons.gov.uk/v1/datasets/TS056/editions/2021/versions/5
TS055,https://api.beta.ons.gov.uk/v1/datasets/TS055/editions/2021/versions/5
TS054,https://api.beta.ons.gov.uk/v1/datasets/TS054/editions/2021/versions/4
TS053,https://api.beta.ons.gov.uk/v1/datasets/TS053/editions/2021/versions/4
TS052,https://api.beta.ons.gov.uk/v1/datasets/TS052/editions/2021/versions/5
TS051,https://api.beta.ons.gov.uk/v1/datasets/TS051/editions/2021/versions/4
TS050,https://api.beta.ons.gov.uk/v1/datasets/TS050/editions/2021/versions/4
TS048,https://api.beta.ons.gov.uk/v1/datasets/TS048/editions/2021/versions/4
TS047,https://api.beta.ons.gov.uk/v1/datasets/TS047/editions/2021/versions/4
TS046,https://api.beta.ons.gov.uk/v1/datasets/TS046/editions/2021/versions/4
TS045,https://api.beta.ons.gov.uk/v1/datasets/TS045/editions/2021/versions/4
TS044,https://api.beta.ons.gov.uk/v1/datasets/TS044/editions/2021/versions/4
TS041,https://api.beta.ons.gov.uk/v1/datasets/TS041/editions/2021/versions/3
TS040,https://api.beta.ons.gov.uk/v1/datasets/TS040/editions/2021/versions/3
TS039ASP,https://api.beta.ons.gov.uk/v1/datasets/TS039ASP/editions/2021/versions/4
TS039,https://api.beta.ons.gov.uk/v1/datasets/TS039/editions/2021/versions/3
TS038ASP,https://api.beta.ons.gov.uk/v1/datasets/TS038ASP/editions/2021/versions/2
TS038,https://api.beta.ons.gov.uk/v1/datasets/TS038/editions/2021/versions/3
TS037ASP,https://api.beta.ons.gov.uk/v1/datasets/TS037ASP/editions/2021/versions/2
TS037,https://api.beta.ons.gov.uk/v1/datasets/TS037/editions/2021/versions/3
TS036,https://api.beta.ons.gov.uk/v1/datasets/TS036/editions/2021/versions/3
TS035,https://api.beta.ons.gov.uk/v1/datasets/TS035/editions/2021/versions/3
TS034,https://api.beta.ons.gov.uk/v1/datasets/TS034/editions/2021/versions/3
TS033,https://api.beta.ons.gov.uk/v1/datasets/TS033/editions/2021/versions/3
TS032,https://api.beta.ons.gov.uk/v1/datasets/TS032/editions/2021/versions/3
TS031,https://api.beta.ons.gov.uk/v1/datasets/TS031/editions/2021/versions/4
TS030,https://api.beta.ons.gov.uk/v1/datasets/TS030/editions/2021/versions/3
TS029,https://api.beta.ons.gov.uk/v1/datasets/TS029/editions/2021/versions/3
TS028,https://api.beta.ons.gov.uk/v1/datasets/TS028/editions/2021/versions/4
